anon_id,Position,Status,risk_score,Date,HSI
ID_111,DB,Low,4,2024-08-06,0
ID_111,DB,Low,4,2024-08-06,0
ID_111,DB,Low,4,2024-08-06,0
ID_111,DB,Routine,4,2025-02-27,0
ID_111,DB,Routine,4,2025-02-27,0
ID_111,DB,Routine,4,2025-02-27,0
ID_111,DB,Routine,4,2025-02-27,0
ID_111,DB,Routine,4,2025-02-27,0
ID_111,DB,Routine,4,2025-02-27,0
ID_111,DB,Low,4,2024-08-06,0
ID_111,DB,Low,4,2024-08-06,0
ID_111,DB,Low,4,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,5,2024-08-06,0
ID_131,OL,Routine,6,2024-08-06,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,Routine,5,2025-02-27,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,Routine,4,2025-02-27,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,High,4,2024-08-07,0
ID_222,OL,High,4,2024-08-07,0
